storm_ID,Region_ID,Track_ID,Track_lat,Track_lon,Heading,dP,Rmax,Translational_speed,DSW
30.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,78.0,35.0,26.1,2.490946213038167e-08
31.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,68.0,62.4,12.0,2.603274979147408e-05
32.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,58.0,109.3,25.0,0.0002742999807950479
33.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,48.0,48.9,24.9,0.0003878792249590861
34.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,38.0,57.7,40.5,0.0003052227192099798
35.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,28.0,25.0,34.8,1.0395389329532685e-05
36.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,88.0,72.4,31.2,1.7393138909115135e-08
37.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,78.0,38.4,26.9,4.8707666353837996e-08
38.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,68.0,52.8,35.3,5.954124132890285e-05
39.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,58.0,105.4,27.8,0.0003496003102159329
40.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,48.0,63.8,13.8,0.0007453206147866355
41.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,38.0,25.0,28.2,0.00012518341871481478
42.0,3.0,6.0,37.80334969359557,-75.51732827140268,-60.0,28.0,61.3,46.0,3.3404995042466616e-05
43.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,88.0,49.7,37.4,8.63818938678603e-11
44.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,78.0,78.2,12.4,5.543891949073079e-09
45.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,68.0,103.7,34.6,5.3700440776018573e-05
46.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,58.0,41.4,12.4,5.254560730969251e-06
47.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,48.0,25.0,31.3,2.766736350612906e-05
48.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,38.0,47.6,20.2,0.00033721820642322614
49.0,3.0,7.0,38.23032110697189,-75.14070655177544,-60.0,28.0,71.2,33.1,0.00010354081935255691
50.0,3.0,8.0,38.80734722850972,-75.0879452162235,-60.0,88.0,46.6,17.7,1.0164839972507185e-13
