lifecycle,year_offset,year,month,day,hour,storm_id
1,5,2038,9,9,20.337911580029193,666
1,6,2039,9,8,19.391691918527414,831
1,7,2040,8,10,5.146098924957861,747
1,7,2040,9,7,12.59287964324458,991
1,8,2041,8,8,7.632574920517104,255
1,8,2041,9,8,2.499170927655638,884
1,9,2042,10,2,11.907169189843701,911
1,11,2044,9,27,13.409742121508241,962
1,11,2044,10,28,3.889441840128673,1050
1,12,2045,9,19,10.514561249162591,563
1,13,2046,9,6,22.045451298283854,587
1,13,2046,10,10,23.96347761904138,65
1,14,2047,8,6,6.9234465969132515,6
1,14,2047,9,22,2.9814149819007714,566
1,17,2050,6,13,23.797602008231813,217
1,17,2050,9,1,15.48846655571558,117
1,17,2050,10,29,0.5054434305291826,922
1,19,2052,9,29,22.119972828639497,913
1,20,2053,8,21,18.018804240465286,204
1,20,2053,11,2,16.396391892137988,550
1,20,2053,11,25,21.36737653308115,852
1,21,2054,9,19,17.523595702438083,486
1,21,2054,9,29,22.000442144975974,281
1,22,2055,8,27,3.737118718154494,511
1,22,2055,9,7,3.8610727666793885,1030
1,23,2056,10,5,11.869380665725874,522
1,23,2056,11,19,20.92007550356187,473
1,24,2057,8,15,3.4435387037653937,293
1,24,2057,9,17,23.949111599931392,673
1,26,2059,8,25,13.39169470222118,578
1,26,2059,9,23,18.537775538245857,473
1,27,2060,8,15,8.993521163016538,263
1,27,2060,9,1,12.6390764547283,993
1,28,2061,10,2,23.577497112326725,606
1,29,2062,9,30,19.80531636407445,575
1,29,2062,10,31,20.232049636793015,993
1,31,2064,8,6,7.734425618425766,922
1,31,2064,9,6,15.385412575819565,473
1,32,2065,7,26,5.4924438829023945,1031
1,34,2067,8,17,22.93961798438958,74
1,35,2068,8,26,8.56359630787602,1020
1,35,2068,9,20,20.148069551396627,761
1,35,2068,9,27,20.338972557293758,910
1,36,2069,8,16,10.11885980999473,321
1,36,2069,8,29,18.90971735153273,69
1,36,2069,9,17,14.487303704912117,817
1,37,2070,9,11,2.4398374703890493,752
1,37,2070,9,27,8.04286346827816,985
1,39,2072,7,10,3.229339334901538,796
1,39,2072,7,31,15.8622776422611,896
1,39,2072,11,26,22.084642911889123,322
1,40,2073,8,22,21.423120478528563,833
1,40,2073,9,22,9.3963064656933,959
1,40,2073,10,28,5.744505311792627,1031
1,42,2075,8,21,20.869325870038796,923
1,42,2075,9,18,22.86978688993573,922
1,42,2075,10,5,17.445245334154066,662
